Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,2.03,2.09,2.03,2.03,2.03,23300
1/5/2010,2.04,2.05,2,2,2,72200
1/6/2010,2,2.06,1.98,2.04,2.04,55700
1/7/2010,2.02,2.06,1.99,2,2,41900
1/8/2010,1.98,2.04,1.96,1.96,1.96,78200
1/11/2010,1.98,2.1,1.98,2.03,2.03,112200
1/12/2010,2.03,2.24,2.03,2.18,2.18,96100
1/13/2010,2.18,2.22,2.11,2.22,2.22,84200
1/14/2010,2.13,2.35,2.13,2.3,2.3,128200
1/15/2010,2.3,2.38,2.29,2.36,2.36,95000
1/19/2010,2.4,2.4,2.3,2.34,2.34,73700
1/20/2010,2.38,2.38,2.22,2.27,2.27,44300
1/21/2010,2.22,2.23,2.2,2.21,2.21,31000
1/22/2010,2.18,2.29,2.15,2.2,2.2,22300
1/25/2010,2.19,2.4,2.16,2.4,2.4,89700
1/26/2010,2.27,2.52,2.24,2.5,2.5,112700
1/27/2010,2.54,2.56,2.49,2.56,2.56,56700
1/28/2010,2.64,2.64,2.5,2.53,2.53,79300
1/29/2010,2.51,2.51,2.42,2.45,2.45,40000
2/1/2010,2.39,2.49,2.25,2.3,2.3,43800
2/2/2010,2.39,2.39,2.3,2.34,2.34,47600
2/3/2010,2.38,2.4,2.33,2.35,2.35,20800
2/4/2010,2.37,2.4,2.2,2.25,2.25,35100
2/5/2010,2.25,2.33,2.15,2.22,2.22,36500
2/8/2010,2.22,2.25,2.22,2.25,2.25,20900
2/9/2010,2.36,2.36,2.22,2.35,2.35,39800
2/10/2010,2.39,2.39,2.29,2.37,2.37,48500
2/11/2010,2.39,2.43,2.37,2.43,2.43,32700
2/12/2010,2.44,2.45,2.35,2.38,2.38,11500
2/16/2010,2.4,2.44,2.38,2.42,2.42,26400
2/17/2010,2.38,2.42,2.38,2.38,2.38,23700
2/18/2010,2.37,2.4,2.37,2.38,2.38,20000
2/19/2010,2.4,2.4,2.38,2.38,2.38,15300
2/22/2010,2.38,2.39,2.29,2.3,2.3,23300
2/23/2010,2.25,2.34,2.21,2.21,2.21,15900
2/24/2010,2.21,2.26,2.09,2.26,2.26,79300
2/25/2010,2.2,2.25,2.2,2.2,2.2,7600
2/26/2010,2.16,2.29,2.16,2.25,2.25,29800
3/1/2010,2.25,2.35,2.25,2.27,2.27,15400
3/2/2010,2.29,2.31,2.25,2.28,2.28,120300
3/3/2010,2.31,2.31,2.05,2.15,2.15,107200
3/4/2010,2.18,2.2,2.15,2.15,2.15,16200
3/5/2010,2.19,2.24,2.16,2.19,2.19,25700
3/8/2010,2.23,2.35,2.17,2.3,2.3,57200
3/9/2010,2.26,2.3,2.25,2.28,2.28,25500
3/10/2010,2.35,2.36,2.23,2.36,2.36,25300
3/11/2010,2.38,2.38,2.29,2.29,2.29,29400
3/12/2010,2.26,2.35,2.25,2.26,2.26,66300
3/15/2010,2.27,2.5,2.26,2.4,2.4,220500
3/16/2010,2.55,2.6,2.37,2.46,2.46,138800
3/17/2010,2.44,2.46,2.4,2.4,2.4,9400
3/18/2010,2.35,2.49,2.31,2.37,2.37,30400
3/19/2010,2.34,2.87,2.31,2.83,2.83,201900
3/22/2010,2.65,3.04,2.63,3,3,171300
